"SKU","Quantity","Price"
"A_016XL_XL","3","100000"
"Q_016XL_XL","3","50000"
"A_016XL_S","6","100000"
"A_016XL_L","4","100000"
"A_016DT_XL","3","100000"
"Q_016DT_XL","3","50000"
"A_016DT_M","4","100000"
"A_016DT_4XL","5","100000"
"A_015D_L","3","100000"
"Q_015D_L","3","50000"
"A_015D_XL","2","100000"
"Q_015D_XL","2","50000"
"A_015W_L","3","100000"
"Q_015W_L","3","50000"
"A_015W_XL","3","100000"
"Q_015W_XL","3","50000"
"A_015W_3XL","3","100000"
"Q_015W_3XL","3","50000"
"A_015CV_2XL","2","100000"
"Q_015CV_2XL","2","50000"
"A_020DD_S","2","100000"
"Q_020DD_S","2","50000"
"A_020D_L","3","100000"
"Q_020D_L","3","50000"
"A_020D_L","2","100000"
"A_010T_S","1","100000"
"Q_010T_S","1","50000"
"A_010W_3XL","2","100000"
"Q_010W_3XL","2","50000"
"A_010W_4XL","1","100000"
"Q_010W_4XL","1","50000"
"B_033XL_L","2","130000"
"B_033XL_XL","2","130000"
"A_013V_4XL","1","100000"
"Q_013V_4XL","1","50000"
"A_018D_3XL","1","100000"
"Q_018D_3XL","1","50000"
"A_026T_M","2","100000"
"Q_026T_M","2","50000"
"A_021S_XL","2","100000"
"Q_021S_XL","2","50000"
"A_021D_L","2","100000"
"Q_021D_L","2","50000"
"A_021W_M","2","100000"
"Q_021W_M","2","50000"
"A_021W_XL","1","100000"
"Q_021W_XL","1","50000"
"A_021T_M","1","100000"
"Q_021T_M","1","50000"
"A_021T_L","1","100000"
"Q_021T_L","1","50000"
"A_029DT_S","1","100000"
"Q_029DT_S","1","50000"
"A_029DT_M","2","100000"
"Q_029DT_M","2","50000"
"A_029DT_L","1","100000"
"Q_029DT_L","1","50000"
"A_029DT_2XL","2","100000"
"Q_029DT_2XL","2","50000"
"A_029V_M","2","100000"
"Q_029V_M","2","50000"
"A_029V_2XL","1","100000"
"Q_029V_2XL","1","50000"
"A_029V_3XL","1","100000"
"Q_029V_3XL","1","50000"
"A_029HP_S","1","100000"
"Q_029HP_S","1","50000"
"A_029HP_M","2","100000"
"Q_029HP_M","2","50000"
"A_029HP_XL","1","100000"
"Q_029HP_XL","1","50000"
"A_029HP_2XL","2","100000"
"Q_029HP_2XL","2","50000"
"A_029HP_3XL","1","100000"
"Q_029HP_3XL","1","50000"
"A_029DD_M","1","100000"
"Q_029DD_M","1","50000"
"A_029XL_XL","1","100000"
"Q_029XL_XL","1","50000"
"A_029XL_2XL","1","100000"
"Q_029XL_2XL","1","50000"
"A_029XL_4XL","1","100000"
"Q_029XL_4XL","1","50000"
"A_H63_M","2",""
"Q_H63_M","2",""
"A_H63_L","2",""
"Q_H63_L","2",""
